,City,Country,Lat,Lng,Hotel Name
0,punta arenas,PH,8.99,125.34,
1,upernavik,GL,72.79,-56.15,Café de Upernavik
2,mataura,NZ,-46.19,168.86,Ellie's Villa
3,lichinga,MZ,-13.31,35.24,Girassol Lichinga
4,saskylakh,RU,71.92,114.08,
5,severo-kurilsk,RU,50.68,156.12,Kak Doma
6,sobolevo,RU,54.43,31.9,
7,yellowknife,CA,62.46,-114.35,The Explorer Hotel
8,rikitea,PF,-23.12,-134.97,Pension Maro'i
9,lohja,FI,60.25,24.07,Place to Sleep Hotel Lohja
10,beloha,MG,-25.17,45.05,
11,albany,US,42.6,-73.97,
12,bethel,US,41.37,-73.41,Best Western Danbury/Bethel
13,denpasar,ID,-8.65,115.22,The Tukad Villa
14,dikson,RU,73.51,80.55,
15,tecpan,GT,14.76,-90.99,Raqui Lodge
16,sinegorye,RU,62.08,150.48,
17,longyearbyen,SJ,78.22,15.64,"Radisson Blu Polar Hotel, Spitsbergen"
18,lebu,CL,-37.62,-73.65,Hostal Las Lilas
19,maldonado,UY,-34.67,-54.92,
20,laguna de perlas,US,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove
21,ugoofaaru,MV,5.67,73.0,Ungoofaaru Inn
22,saint-philippe,RE,-21.36,55.77,Pinpin d'Amour
23,auriflama,BR,-20.69,-50.55,Capoia´s Hotel
24,margate,GB,51.38,1.39,Sands Hotel Margate
25,bengkulu,ID,-3.8,102.27,Mercure Bengkulu
26,port alfred,CD,-7.03,29.76,
27,kavieng,PG,-2.57,150.8,Nusa Island Retreat
28,muisne,EC,0.6,-80.03,Quinta Samay
29,hermanus,ZA,-34.42,19.23,Birkenhead House
30,roswell,US,34.02,-84.36,Wingate by Wyndham Alpharetta
31,broome,US,42.25,-75.83,
32,dancheng,CN,33.63,115.18,Sunshine Hotel
33,ulagan,RU,50.63,87.96,Gostinitsa Uyut
34,busselton,AU,-33.65,115.33,Broadwater Resort
35,kodiak,US,57.79,-152.41,Shelikof Lodge
36,barrow,US,71.29,-156.79,Top of the World Hotel
37,hilo,US,19.73,-155.09,Grand Naniloa Hotel Hilo - a DoubleTree by Hilton
38,castro,BR,-24.79,-50.01,Hotel Buganville Express
39,khanewal,PK,30.3,71.93,City Gate Hotel and Restaurant
40,hithadhoo,MV,-0.6,73.08,Pebbles Inn
41,oranjemund,,-28.55,16.43,
42,tungor,RU,53.38,142.96,
43,koster,ZA,-25.86,26.9,Bem-Vindo Lodge
44,arraial do cabo,BR,-22.84,-46.65,
45,villa maria,IT,46.2,10.13,Hostel Castle Tirano / BB
46,bredasdorp,ZA,-34.53,20.04,Bredasdorp Country Manor
47,coihaique,CL,-45.58,-72.07,Nomades Hotel Boutique
48,provideniya,RU,64.38,-173.3,
49,souillac,MU,-20.52,57.52,Auberge de Saint-Aubin
50,trairi,BR,-3.28,-39.27,Rede Beach: Hotel em Guajiru
51,bluff,NZ,-46.6,168.33,Land's End Boutique Hotel
52,new norfolk,LR,6.65,-10.59,
53,sitka,US,57.05,-135.33,Aspen Suites Hotel Sitka
54,codrington,AU,-38.27,141.97,Codrington Gardens Bed And Breakfast
55,ipora,BR,-16.44,-51.12,Grand Hotel
56,hasaki,JP,35.73,140.83,Inubosaki Kanko Hotel
57,norilsk,RU,69.35,88.2,Hostels Rus - Norilsk
58,altamira,BR,-3.2,-52.21,Xingu Praia Hotel
59,thompson,CA,55.74,-97.86,Burntwood Hotel
60,hobart,AU,-42.88,147.33,Hotel Grand Chancellor Hobart
61,mahebourg,MU,-20.41,57.7,Preskil Island Resort
62,manado,ID,1.49,124.85,Four Points by Sheraton Manado
63,carnarvon,AU,-24.87,113.63,Hospitality Carnarvon
64,atuona,PF,-9.8,-139.03,Hôtel Hiva Oa Hanakee Lodge
65,katsuura,JP,35.13,140.3,Katsuura Hilltop Hotel & Residence
66,ilulissat,GL,69.22,-51.1,Hotel Icefiord
67,matadi,CD,-5.82,13.45,Hotel Vivi Palace
68,mandalgovi,MN,45.76,106.27,Mandal Hotel
69,ushuaia,AR,-54.8,-68.3,Los Cauquenes Resort & Spa
70,esperance,AU,-33.87,121.9,The Jetty Resort
71,kuryk,KZ,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
72,hirna,ET,9.22,41.1,Rozalago Hotel
73,kargat,RU,55.2,80.28,Kargat
74,kruisfontein,ZA,-34.0,24.73,
75,morondava,MG,-20.28,44.28,Palissandre Cote Ouest resort & SPA
76,saint-leu,RE,-21.15,55.28,Blue Margouillat
77,aklavik,CA,68.22,-135.01,Sundog Inn
78,vaini,TO,-21.2,-175.2,Paradise First Hotel
79,pevek,RU,69.7,170.31,Munitsipal'naya Gostinitsa
80,san patricio,ML,13.3,-4.9,Hôtel Teriya
81,qaanaaq,GL,77.48,-69.36,Qaanaaq Hotel
82,cape town,CL,-36.41,-71.9,Hotel Molino Viejo
83,pahrump,US,36.21,-115.98,Holiday Inn Express & Suites Pahrump
84,ribeira grande,ES,42.75,-8.44,Hotel Restaurante América
85,gijon,ES,43.54,-5.66,abba Playa Gijón Hotel
86,davod,HU,45.99,18.92,Locomotiv Vendégház
87,bambous virieux,MU,-20.26,57.41,Pearle Beach Resort & Spa
88,puerto ayora,ES,36.59,-6.23,Duques de Medinaceli
89,tevaitoa,PF,-16.78,-151.5,Hôtel Raiatea Lodge
90,faanui,PF,-16.48,-151.75,Oa Oa Lodge
91,flin flon,FR,48.5,6.66,
92,finnsnes,NO,69.23,17.98,Finnsnes Hotel - A SNR Hotel
93,victoria,HK,22.29,114.16,"Dorsett Mongkok, Hong Kong"
94,marsh harbour,GB,53.65,-1.81,Pennine Manor
95,oktyabrskoye,RU,43.06,44.74,Aleksandrovskiy
96,sao joao da barra,IN,20.51,76.21,Hotel Sai Residency
97,bambanglipuro,ID,-7.95,110.28,Puri Brata
98,ozernovskiy,RU,51.5,156.52,
99,kavaratti,IN,10.57,72.64,Bismillah Hotel And Lodging
100,jamestown,US,42.1,-79.24,Chautauqua Harbor Hotel
101,sao filipe,IN,20.51,76.21,Hotel Sai Residency
102,ilebo,CD,-4.32,20.58,
103,dongsheng,CN,39.82,109.98,Crowne Plaza Ordos
104,savinka,RU,50.08,47.1,
105,raudeberg,NO,61.99,5.14,Ulvesund FYR
106,biak,ID,-0.91,122.88,
107,moroni,KM,-11.7,43.26,Golden Tulip Grande Comore Moroni Resort & Spa
108,alofi,NU,-19.06,-169.92,Taloa Heights
109,portland,US,45.52,-122.68,Jupiter Hotel Portland
110,pisco,PE,-13.7,-76.22,Embassy Beach
111,cherskiy,RU,68.75,161.3,
112,bathsheba,BB,13.22,-59.52,Rest Haven Beach Cottages
113,butaritari,KI,3.07,172.79,
114,onega,RU,63.91,38.14,"Gostevoy Dom ""Chayka"""
115,isangel,VU,-19.55,169.27,Tanna Ikamir Bungalows and Accommodation
116,nizhniy tsasuchey,RU,45.39,39.24,
117,norman wells,US,35.22,-97.44,Courtyard by Marriott Norman
118,lavrentiya,RU,65.58,-171.0,
119,anton lizardo,PA,8.4,-80.27,Hostal Las Catalinas Anton Panama
120,rio grande,GR,38.3,21.78,Airotel Achaia Beach
121,nome,US,64.5,-165.41,Aurora Inn & Suites
122,namatanai,PG,-3.67,152.43,Namatanai Hotel
123,fortuna,US,40.6,-124.16,Best Western Country Inn
124,havre-saint-pierre,CA,50.23,-63.6,Hotel Du Havre
125,orange cove,US,33.7,-117.77,DoubleTree by Hilton Hotel Irvine - Spectrum
126,avarua,CK,-21.21,-159.78,The Edgewater Resort and Spa
