,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
0,punta arenas,32,1587176943,61,8.99,125.34,88.45,2.59,PH
1,upernavik,98,1587176903,90,72.79,-56.15,21.58,4.09,GL
2,mataura,35,1587176907,54,-46.19,168.86,60.01,11.99,NZ
3,lichinga,32,1587176944,71,-13.31,35.24,59.65,5.5,MZ
4,saskylakh,0,1587176923,88,71.92,114.08,8.71,4.99,RU
5,severo-kurilsk,8,1587176944,92,50.68,156.12,32.92,12.95,RU
6,sobolevo,0,1587176944,93,54.43,31.9,30.45,11.77,RU
7,yellowknife,90,1587176901,63,62.46,-114.35,28.0,9.17,CA
8,rikitea,1,1587176746,63,-23.12,-134.97,77.36,1.99,PF
9,lohja,0,1587176944,75,60.25,24.07,35.01,5.01,FI
10,beloha,0,1587176786,71,-25.17,45.05,69.04,2.3,MG
11,albany,100,1587176751,76,42.6,-73.97,41.0,3.87,US
12,bethel,90,1587176946,93,41.37,-73.41,37.0,4.7,US
13,denpasar,20,1587176666,79,-8.65,115.22,87.8,4.7,ID
14,dikson,91,1587176909,97,73.51,80.55,25.12,14.9,RU
15,tecpan,75,1587176946,83,14.76,-90.99,69.8,4.7,GT
16,sinegorye,100,1587176946,82,62.08,150.48,3.25,9.01,RU
17,longyearbyen,75,1587176904,100,78.22,15.64,28.4,9.17,SJ
18,lebu,100,1587176904,94,-37.62,-73.65,60.78,3.69,CL
19,maldonado,0,1587176946,100,-34.67,-54.92,60.01,4.7,UY
20,laguna de perlas,1,1587176947,62,38.42,-121.42,59.0,12.75,US
21,ugoofaaru,97,1587176947,74,5.67,73.0,85.51,11.86,MV
22,saint-philippe,38,1587176914,78,-21.36,55.77,71.6,9.17,RE
23,auriflama,38,1587176947,79,-20.69,-50.55,64.63,6.69,BR
24,margate,99,1587176947,96,51.38,1.39,48.0,4.0,GB
25,bengkulu,77,1587176880,68,-3.8,102.27,84.81,4.85,ID
26,port alfred,97,1587176746,61,-7.03,29.76,72.72,5.86,CD
27,kavieng,60,1587176909,71,-2.57,150.8,82.98,4.41,PG
28,muisne,100,1587176947,82,0.6,-80.03,79.02,3.2,EC
29,hermanus,84,1587176903,81,-34.42,19.23,57.99,3.0,ZA
